"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","sauce demo 1","2-login with an invalid user","0","0","1","0","0"
"","sauce demo 2","9-final order items","0","0","1","0","0"
"","sauce demo 2","6-add multiple items to the shopping cart","0","0","1","0","0"
"","sauce demo 2","8-fill users information","0","0","1","0","0"
"","sauce demo 2","7-missing zip code information","0","0","1","0","0"
"","sauce demo 1","1-login with a valid user","0","0","1","0","0"
"","sauce demo 2","3-Logout from products page","0","0","1","0","0"
"","sauce demo 2","4-navigate to the shopping cart","0","0","1","0","0"
"","sauce demo 2","10-complete a purchase","0","0","1","0","0"
"","sauce demo 2","5-add a single item to the shopping cart","0","0","1","0","0"
