"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 14 22:11:17 CDT 2020","Wed Oct 14 22:11:22 CDT 2020","4155","","sauce demo 1","","2-login with an invalid user","","2-login with an invalid user",""
"passed","Wed Oct 14 22:12:14 CDT 2020","Wed Oct 14 22:12:24 CDT 2020","9366","","sauce demo 2","","9-final order items","","9-final order items",""
"passed","Wed Oct 14 22:11:47 CDT 2020","Wed Oct 14 22:11:55 CDT 2020","8474","","sauce demo 2","","6-add multiple items to the shopping cart","","6-add multiple items to the shopping cart",""
"passed","Wed Oct 14 22:12:05 CDT 2020","Wed Oct 14 22:12:14 CDT 2020","9888","","sauce demo 2","","8-fill users information","","8-fill users information",""
"passed","Wed Oct 14 22:11:55 CDT 2020","Wed Oct 14 22:12:05 CDT 2020","9217","","sauce demo 2","","7-missing zip code information","","7-missing zip code information",""
"passed","Wed Oct 14 22:11:11 CDT 2020","Wed Oct 14 22:11:17 CDT 2020","6691","","sauce demo 1","","1-login with a valid user","","1-login with a valid user",""
"passed","Wed Oct 14 22:11:22 CDT 2020","Wed Oct 14 22:11:29 CDT 2020","7380","","sauce demo 2","","3-Logout from products page","","3-Logout from products page",""
"passed","Wed Oct 14 22:11:29 CDT 2020","Wed Oct 14 22:11:37 CDT 2020","8163","","sauce demo 2","","4-navigate to the shopping cart","","4-navigate to the shopping cart",""
"passed","Wed Oct 14 22:12:24 CDT 2020","Wed Oct 14 22:12:34 CDT 2020","10438","","sauce demo 2","","10-complete a purchase","","10-complete a purchase",""
"passed","Wed Oct 14 22:11:37 CDT 2020","Wed Oct 14 22:11:47 CDT 2020","9616","","sauce demo 2","","5-add a single item to the shopping cart","","5-add a single item to the shopping cart",""
